Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Jared Jones","PIT",23,148.86891891891892,,,,126.815625,109.69166666666668,139.3153846153846,,,136.44952076677316,106.53099041533545,115.84185303514377,"Jared Jones",27863,683003
"Corbin Burnes","BAL",23.2,,119.79565217391306,127.72,,106.55581395348837,105.0020618556701,118.74074074074075,,,118.15675675675678,106.7545945945946,111.45891891891891,"Corbin Burnes",19361,669203
"Freddy Peralta","MIL",17.2,138.62121212121212,,,,102.72826086956522,85.56363636363636,53.73846153846154,,,114.34835164835165,103.84450549450548,110.6989010989011,"Freddy Peralta",18679,642547
"Zack Wheeler","PHI",24,93.53548387096774,100.6,83.65294117647058,92.27446808510638,124.31599999999999,103.66428571428571,,,,99.41773778920306,107.71876606683806,110.12133676092544,"Zack Wheeler",10310,554430
"Zach Eflin","TBR",23.1,62.96551724137931,95.37701149425287,84.01052631578946,,133.81304347826085,108.82456140350877,69.5,,,95.0655319148936,115.37914893617021,109.75021276595744,"Zach Eflin",13774,621107
"George Kirby","SEA",20.1,102.03586206896553,100.28769230769231,,91.59032258064515,108.97027027027028,,,117.9375,,103.72046109510086,111.69625360230545,109.36224783861671,"George Kirby",25436,669923
"Logan Webb","SFG",30.2,57.760000000000005,97.49018404907976,,,111.84033613445378,,138.08850574712645,,,114.24894957983193,103.60063025210084,108.99411764705883,"Logan Webb",17995,657277
"Tanner Houck","BOS",26.2,24.3,104.55499999999999,99.83181818181819,98.7536231884058,117.51790123456792,,,,,108.6072192513369,104.4874331550802,108.95401069518718,"Tanner Houck",19879,656557
"Grayson Rodriguez","BAL",24,111.3248366013072,111.42307692307692,91.57021276595745,,,109.92500000000001,136.9070588235294,,,114.52292817679559,104.83895027624308,108.75828729281768,"Grayson Rodriguez",24492,680570
"Brandon Pfaadt","ARI",23.2,73.89918699186993,93.63,,,131.26991150442478,90.97692307692309,88.97368421052632,,,98.32588555858311,110.86457765667576,107.84577656675746,"Brandon Pfaadt",27782,694297
"Brayan Bello","BOS",20.2,,110.40718954248365,,,119.94583333333333,,76.08728813559321,,,101.61016483516484,102.4730769230769,107.4098901098901,"Brayan Bello",23920,678394
"Luis Castillo","SEA",21.2,99.39505494505495,92.353125,,,75.11704545454546,,97.56333333333333,,,92.45245478036173,109.80413436692507,106.72816537467703,"Luis Castillo",15689,622491
"Joe Ryan","MIN",17.1,83.6546218487395,104.02499999999999,,95.84533333333333,98.82536231884058,,,,,88.59944903581267,111.44600550964186,106.13746556473829,"Joe Ryan",21390,657746
"Dylan Cease","SDP",22.2,130.6312849162011,,,,113.76133333333334,,35.3,96.14390243902439,,125.844080604534,99.2539042821159,105.944080604534,"Dylan Cease",18525,656302
"Keaton Winn","SFG",22,96.41714285714285,92.7169014084507,,124.85586206896551,129.49622641509433,,,,,112.96449704142013,99.9742603550296,105.59556213017753,"Keaton Winn",23499,676775
"Tarik Skubal","DET",23.2,110.73119266055046,92.83466666666666,,,103.22881355932203,,102.62065217391304,87.37894736842104,,100.98567073170733,104.02073170731704,105.50457317073173,"Tarik Skubal",22267,669373
"Merrill Kelly","ARI",24.2,81.21645569620253,87.3075,94.62333333333332,,120.46393442622951,111.6,118.13428571428574,,,100.72666666666665,108.56833333333334,105.49416666666666,"Merrill Kelly",11156,518876
"Ryan Pepiot","TBR",22.2,110.75233160621762,,,,120.43300970873787,187.3,119.4223880597015,,,115.49506849315068,101.75424657534248,105.07753424657535,"Ryan Pepiot",26221,686752
"Cristopher Sánchez","PHI",21.1,,111.01626506024097,90.39999999999999,,92.57384615384616,,93.81111111111112,,,101.49277777777777,100.29305555555555,104.29166666666667,"Cristopher Sanchez",20778,650911
"Tyler Glasnow","LAD",29,121.96837606837607,118.2,,,108.28153846153846,141.84857142857146,,,,121.0359090909091,101.7840909090909,104.25272727272728,"Tyler Glasnow",14374,607192
"Aaron Nola","PHI",23.1,87.55675675675674,83.884375,73.92727272727274,,,,75.08571428571429,137.04482758620688,,100.1782287822878,106.05313653136531,103.90848708487084,"Aaron Nola",16149,605400
"Garrett Crochet","CHW",22.2,106.94361702127661,,97.93508771929825,,135.3622448979592,,93.06666666666666,,,112.61682242990655,102.4090342679128,103.8694704049844,"Garrett Crochet",27463,676979
"Aaron Civale","TBR",23,70.82456140350877,72.04047619047618,86.81590909090909,89.95,192.66712328767125,105.63793103448276,,,,99.7625,101.63892045454546,103.56164772727274,"Aaron Civale",19479,650644
"Pablo López","MIN",22.2,109.36026490066224,92.64375000000001,,,129.8886075949367,81.2,80.04871794871795,,,103.6263736263736,100.74587912087914,103.48708791208792,"Pablo Lopez",17085,641154
"Hunter Greene","CIN",20.2,137.99271523178808,,,107.75333333333336,131.3047619047619,117.09,,,,133.0755775577558,93.16600660066007,103.45973597359738,"Hunter Greene",22182,668881
"Yusei Kikuchi","TOR",21.2,118.3659090909091,,,,99.48676470588235,101.76631578947368,97.25333333333334,,,108.92222222222223,100.77804878048778,103.0821138211382,"Yusei Kikuchi",20633,579328
"Nathan Eovaldi","TEX",24.2,74.72833333333332,,94.26896551724137,124.75833333333334,114.025,108.67611940298508,,,,100.71827956989246,103.58413978494623,102.89489247311829,"Nathan Eovaldi",9132,543135
"Bryce Miller","SEA",24.1,110.046,93.69583333333334,,83.47571428571429,124.08088235294117,,,,,104.75805555555556,102.36444444444442,102.60472222222221,"Bryce Miller",29837,682243
